alarm_description,Severity,Alarm ID,Alarm Source,Location Info,Other Information,Last Occurred (ST),Acknowledged On (ST),Fiber/Cable Name,Cleared By,Acknowledged By,Clearance Status,Acknowledgement Status,Alarm Serial Number
2,0,13552,29,567,27,2025-04-10 05:27:10,2025-04-10 06:03:33,111,4,1,1,1,30590045
2,3,8,0,634,121,2025-03-07 20:34:19,2025-03-07 21:24:10,53,0,3,1,1,30709043
1,0,625,36,823,71,2025-04-13 13:23:32,2025-04-13 13:42:34,64,1,1,1,1,30603495
0,0,12350,2,243,103,2025-03-17 23:28:19,2025-03-17 23:55:06,23,2,2,1,0,30562587
2,2,13142,51,551,69,2025-02-06 16:39:48,2025-02-06 17:02:53,62,0,3,1,1,30346366
2,1,12307,22,184,23,2025-03-19 07:59:25,2025-03-19 08:28:06,55,1,0,0,0,30418334
0,3,12544,62,860,130,2025-03-15 06:04:38,2025-03-15 06:50:19,16,4,1,0,0,30615691
2,2,333,57,1022,116,2025-04-15 02:21:25,2025-04-15 03:20:35,77,4,3,1,1,30956330
2,1,333,6,841,24,2025-02-08 00:19:47,2025-02-08 01:05:40,107,4,3,1,1,30367674
2,2,30,0,261,74,2025-04-11 05:22:29,2025-04-11 05:42:43,15,1,3,0,0,30419640
1,3,235,54,570,171,2025-04-15 16:55:58,2025-04-15 17:44:09,62,3,1,1,1,30787309
2,1,625,3,783,11,2025-02-26 14:41:19,2025-02-26 14:42:22,5,3,1,0,0,30459745
0,2,14303,25,552,60,2025-03-24 19:02:23,2025-03-24 19:11:04,21,0,2,1,1,30101026
2,1,12956,60,337,184,2025-02-04 00:24:29,2025-02-04 01:23:13,101,1,3,1,1,30899720
1,0,12926,61,830,154,2025-03-26 22:15:13,2025-03-26 22:56:00,108,3,1,0,1,30539670
1,0,13964,8,411,4,2025-04-17 00:05:12,2025-04-17 00:58:16,103,2,2,0,1,30122592
0,1,12305,17,272,267,2025-02-14 18:22:51,2025-02-14 18:54:52,84,3,0,0,0,30758435
2,0,12788,58,399,65,2025-04-05 06:20:42,2025-04-05 07:20:27,45,3,1,0,0,30813039
0,2,333,33,712,77,2025-03-12 22:41:56,2025-03-12 23:34:50,64,1,0,1,0,30721800
2,1,13142,16,611,92,2025-04-14 23:54:06,2025-04-14 23:57:37,91,2,2,0,0,30631609
0,2,32,56,1061,13,2025-02-01 00:56:29,2025-02-01 01:48:31,35,4,1,1,1,30132807
1,0,13186,37,969,243,2025-04-05 02:41:04,2025-04-05 03:11:17,31,1,2,0,1,30274326
2,0,631,47,645,91,2025-02-17 19:16:08,2025-02-17 19:50:41,110,4,0,1,1,30731430
1,2,625,32,8,232,2025-02-01 16:16:23,2025-02-01 16:49:39,44,2,2,1,0,30417660
1,0,335,31,666,176,2025-03-14 10:06:55,2025-03-14 10:40:32,101,3,1,1,1,30875597
0,3,638,1,1018,156,2025-02-27 14:23:42,2025-02-27 14:52:09,13,3,0,0,0,30410768
