alarm_description,Severity,Alarm ID,Alarm Source,Location Info,Other Information,Last Occurred (ST),Acknowledged On (ST),Fiber/Cable Name,Cleared By,Acknowledged By,Clearance Status,Acknowledgement Status,Alarm Serial Number
1,3,236,33,1014,60,2025-05-03 00:00:00,2025-05-03 01:00:00,21,1,2,0,0,25459049
0,3,14152,53,975,163,2025-05-04 23:00:00,2025-05-05 03:00:00,15,1,3,0,0,25450072
1,1,2,20,1048,196,2025-05-03 10:00:00,2025-05-03 18:00:00,107,4,3,0,0,26699569
1,2,13987,40,63,60,2025-05-10 14:00:00,2025-05-10 17:00:00,21,1,2,0,0,27516856
0,2,199,40,916,216,2025-05-08 08:00:00,2025-05-08 09:00:00,12,1,3,0,0,27926861
0,2,12350,21,969,101,2025-05-04 17:00:00,2025-05-05 02:00:00,13,4,1,0,0,27724897
1,1,13417,25,536,267,2025-05-12 17:00:00,2025-05-13 02:00:00,109,3,3,0,0,25332304
2,3,25,60,1048,82,2025-05-02 11:00:00,2025-05-02 20:00:00,21,3,2,0,0,25450066
1,1,12306,45,968,54,2025-05-08 02:00:00,2025-05-08 11:00:00,13,4,2,0,0,26470867
1,3,13417,23,889,1,2025-05-06 05:00:00,2025-05-06 07:00:00,107,3,2,0,0,26642105
1,1,235,2,878,202,2025-05-13 10:00:00,2025-05-13 14:00:00,21,4,1,0,0,26743804
1,1,199,62,832,197,2025-05-15 18:00:00,2025-05-15 20:00:00,21,4,2,0,0,27719323
0,3,12301,39,835,207,2025-05-09 11:00:00,2025-05-09 18:00:00,21,1,2,0,0,25306115
1,2,12350,58,176,204,2025-05-13 00:00:00,2025-05-13 03:00:00,0,3,3,0,0,27636908
2,3,235,46,398,198,2025-05-15 19:00:00,2025-05-16 04:00:00,21,4,1,0,0,27759203
0,0,14102,22,689,207,2025-05-05 00:00:00,2025-05-05 07:00:00,0,3,3,0,0,25356894
2,0,186,53,935,208,2025-05-10 21:00:00,2025-05-11 05:00:00,13,3,2,0,0,25758493
2,3,63604,6,117,181,2025-05-08 04:00:00,2025-05-08 13:00:00,12,3,2,0,0,27514202
2,1,327,31,587,61,2025-05-13 12:00:00,2025-05-13 20:00:00,0,4,1,0,0,25412278
2,0,12544,18,366,216,2025-05-04 15:00:00,2025-05-04 22:00:00,0,1,2,0,0,26943375
0,0,327,4,511,188,2025-05-17 14:00:00,2025-05-17 23:00:00,21,3,1,0,0,27685598
0,1,199,29,792,205,2025-05-15 14:00:00,2025-05-15 15:00:00,12,4,3,0,0,27721695
2,1,14152,31,1048,163,2025-05-01 16:00:00,2025-05-01 20:00:00,21,3,1,0,0,25765945
2,2,13056,59,477,145,2025-05-06 19:00:00,2025-05-06 23:00:00,13,1,3,0,0,25751942
0,1,114,51,665,205,2025-05-11 13:00:00,2025-05-11 18:00:00,21,3,2,0,0,27547326
0,3,12306,58,885,161,2025-05-12 13:00:00,2025-05-12 21:00:00,108,4,3,0,0,25354612
0,3,199,66,929,193,2025-05-07 06:00:00,2025-05-07 07:00:00,63,3,3,0,0,26340062
1,2,1,62,937,219,2025-05-15 09:00:00,2025-05-15 15:00:00,13,3,3,0,0,25308572
1,0,25,45,238,192,2025-05-14 21:00:00,2025-05-15 06:00:00,15,3,1,0,0,26403501
1,0,236,18,837,196,2025-05-06 19:00:00,2025-05-07 03:00:00,12,1,3,0,0,26219659
2,1,63604,11,446,125,2025-05-05 17:00:00,2025-05-05 19:00:00,108,3,1,0,0,25713463
1,3,25,49,690,82,2025-05-03 19:00:00,2025-05-04 02:00:00,0,4,1,0,0,26538397
2,0,14102,19,897,193,2025-05-16 05:00:00,2025-05-16 10:00:00,108,3,1,0,0,27578152
2,2,235,62,699,238,2025-05-08 10:00:00,2025-05-08 12:00:00,63,3,2,0,0,25766513
1,2,13056,31,541,161,2025-05-06 04:00:00,2025-05-06 05:00:00,13,3,2,0,0,25832938
2,3,12587,24,614,62,2025-05-17 12:00:00,2025-05-17 14:00:00,12,1,2,0,0,26033574
1,2,12305,13,142,143,2025-05-14 00:00:00,2025-05-14 06:00:00,108,4,1,0,0,25635278
1,2,13933,52,791,162,2025-05-13 22:00:00,2025-05-14 06:00:00,107,3,2,0,0,25403872
0,3,114,38,977,165,2025-05-15 01:00:00,2025-05-15 04:00:00,0,4,3,0,0,25341435
1,1,12305,56,587,198,2025-05-16 02:00:00,2025-05-16 07:00:00,108,4,1,0,0,25614697
0,1,13142,46,895,97,2025-05-18 03:00:00,2025-05-18 05:00:00,12,1,2,0,0,26204044
1,2,187,36,865,123,2025-05-15 21:00:00,2025-05-16 05:00:00,107,4,1,0,0,26057310
1,1,12956,29,62,97,2025-05-10 16:00:00,2025-05-10 20:00:00,15,3,2,0,0,25667998
0,1,13417,9,924,165,2025-05-18 19:00:00,2025-05-19 01:00:00,13,1,3,0,0,26767616
0,2,13552,66,378,265,2025-05-07 02:00:00,2025-05-07 05:00:00,13,1,1,0,0,25513556
1,1,14152,41,941,188,2025-05-18 21:00:00,2025-05-19 05:00:00,15,4,2,0,0,27627616
2,2,236,2,541,196,2025-05-05 14:00:00,2025-05-05 22:00:00,21,1,2,0,0,26290120
0,0,187,4,821,117,2025-05-16 02:00:00,2025-05-16 05:00:00,107,4,3,0,0,27814135
2,3,12307,7,1031,106,2025-05-15 21:00:00,2025-05-16 06:00:00,0,4,3,0,0,26662553
